12.000000,12.000000,12.000000,13.000000,13.000000,13.000000,14.000000,14.000000,15.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,25.000000,26.000000,26.000000,26.000000,27.000000,27.000000,27.000000,28.000000,28.000000,28.000000,29.000000,29.000000,29.000000,29.000000,30.000000,30.000000,30.000000,30.000000,30.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,30.000000,30.000000,30.000000,30.000000,30.000000,29.000000,29.000000,29.000000,29.000000,28.000000,28.000000,28.000000,27.000000,27.000000,27.000000,26.000000,26.000000,26.000000,25.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,15.000000,14.000000,14.000000,13.000000,13.000000,13.000000,12.000000,12.000000,12.000000,
12.000000,12.000000,13.000000,13.000000,13.000000,14.000000,14.000000,15.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,26.000000,27.000000,27.000000,27.000000,28.000000,28.000000,28.000000,29.000000,29.000000,29.000000,30.000000,30.000000,30.000000,30.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,31.000000,31.000000,31.000000,31.000000,31.000000,31.000000,30.000000,30.000000,30.000000,30.000000,29.000000,29.000000,29.000000,28.000000,28.000000,28.000000,27.000000,27.000000,27.000000,26.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,15.000000,14.000000,14.000000,13.000000,13.000000,13.000000,12.000000,12.000000,
12.000000,13.000000,13.000000,13.000000,14.000000,14.000000,15.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,25.000000,26.000000,26.000000,27.000000,27.000000,27.000000,28.000000,28.000000,28.000000,29.000000,29.000000,29.000000,30.000000,30.000000,30.000000,31.000000,31.000000,31.000000,31.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,31.000000,31.000000,31.000000,31.000000,30.000000,30.000000,30.000000,29.000000,29.000000,29.000000,28.000000,28.000000,28.000000,27.000000,27.000000,27.000000,26.000000,26.000000,25.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,15.000000,14.000000,14.000000,13.000000,13.000000,13.000000,12.000000,
12.000000,13.000000,13.000000,14.000000,14.000000,14.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,26.000000,27.000000,27.000000,28.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,30.000000,31.000000,31.000000,31.000000,31.000000,32.000000,32.000000,32.000000,32.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,33.000000,33.000000,33.000000,33.000000,33.000000,33.000000,32.000000,32.000000,32.000000,32.000000,31.000000,31.000000,31.000000,31.000000,30.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,28.000000,27.000000,27.000000,26.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,14.000000,14.000000,14.000000,13.000000,13.000000,12.000000,
13.000000,13.000000,14.000000,14.000000,14.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,27.000000,28.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,32.000000,32.000000,32.000000,33.000000,33.000000,33.000000,33.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,33.000000,33.000000,33.000000,33.000000,32.000000,32.000000,32.000000,32.000000,31.000000,31.000000,31.000000,30.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,28.000000,27.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,14.000000,14.000000,14.000000,13.000000,13.000000,
13.000000,14.000000,14.000000,14.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,26.000000,27.000000,27.000000,28.000000,28.000000,29.000000,29.000000,29.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,32.000000,32.000000,33.000000,33.000000,33.000000,34.000000,34.000000,34.000000,34.000000,34.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,35.000000,34.000000,34.125000,34.000000,34.000000,34.000000,33.000000,33.000000,33.000000,32.000000,32.000000,32.000000,31.000000,31.000000,31.000000,30.000000,30.000000,29.000000,29.000000,29.000000,28.000000,28.000000,27.000000,27.000000,26.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,14.000000,14.000000,14.000000,13.000000,
13.000000,14.000000,14.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,27.000000,28.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,32.000000,32.000000,33.000000,33.000000,33.000000,34.000000,34.000000,34.000000,35.000000,35.000000,35.000000,35.000000,35.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,36.000000,35.000000,35.000000,35.000000,35.000000,35.000000,34.000000,34.000000,34.000000,33.000000,33.000000,33.000000,32.000000,32.000000,32.000000,31.000000,31.000000,31.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,28.000000,27.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,14.000000,14.000000,13.000000,
14.000000,14.000000,15.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.000000,33.000000,34.000000,34.000000,34.000000,35.000000,35.000000,35.000000,35.000000,36.000000,36.000000,36.000000,36.000000,36.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,37.000000,36.000000,36.000000,36.000000,36.000000,36.000000,35.000000,35.000000,35.000000,35.000000,34.000000,34.000000,34.000000,33.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,30.000000,30.000000,29.000000,28.625000,28.000000,28.000000,27.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,15.000000,14.000000,14.000000,
14.000000,14.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,31.000000,31.000000,32.000000,32.000000,32.000000,33.000000,33.000000,34.000000,34.000000,34.000000,35.000000,35.000000,35.000000,36.000000,36.000000,36.000000,36.000000,37.000000,37.000000,37.000000,37.000000,37.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,37.000000,37.000000,37.000000,37.000000,37.000000,36.000000,36.000000,36.000000,36.000000,35.000000,35.000000,35.000000,34.000000,34.000000,34.000000,33.000000,33.000000,32.000000,32.000000,32.000000,31.000000,31.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,14.000000,14.000000,
14.000000,15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.125000,34.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,36.000000,36.000000,37.000000,37.000000,37.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000,37.000000,37.000000,37.000000,36.000000,36.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,34.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,31.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,14.000000,
15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.000000,33.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,36.000000,37.000000,37.000000,37.000000,38.000000,38.000000,38.000000,38.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,39.000000,39.000000,39.000000,39.000000,39.000000,39.000000,38.000000,38.000000,38.000000,38.000000,37.000000,37.000000,37.000000,36.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,33.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,
